All,Wszystko
"We can't delete URL Rewrite right now.","Nie możemy teraz usunąć przekierowania URL."
"The product you chose is not associated with the selected store or category.","Wybrany produkt nie jest powiązany z wybranym sklepem lub kategorią."
"The category you chose is not associated with the selected store.","Wybrana kategoria nie jest powiązana z wybranym sklepem."
"The URL Rewrite has been saved.","Przekierowanie URL zostało zapisane."
"Something went wrong while saving URL Rewrite.","Coś poszło nie tak podczas zapisywania URL Rewrite."
"Do not use two or more consecutive slashes in the request path.","Nie należy używać dwóch lub więcej kolejnych ukośniki w ścieżce wniosek."
"Anchor symbol (#) is not supported in request path.","Symbol (#) nie jest obsługiwany w ścieżce polecenia."
"Do not use two or more consecutive slashes in the url rewrite suffix.","Nie korzystać z dwóch lub więcej kolejnych ukośniki w adresie url rewrite sufiks."
"Anchor symbol (#) is not supported in url rewrite suffix.","Symbol (#) nie jest obsługiwany w sufiksie przekierowania url."
"URL key for specified store already exists","Klucz URL dla określonego sklepu już istnieje"
"Exception instance doesn't match %1 type","Wystąpienie wyjątku nie pasuje do typu %1"
"Temporary (302)","Tymczasowe (302)"
"Permanent (301)","Stałe (301)"
"Request Path for Specified Store","Wymagaj ścieżki dla określonego sklepu"
"message %1","komunikat %1"
"Custom storage message","Magazyn niestandardowych wiadomości"
"The value specified in the URL Key field would generate a URL that already exists.","Wartość określona w polu URL Key wygenerowałaby adres URL, który już istnieje."
"To resolve this conflict, you can either change the value of the URL Key field (located in the Search Engine Optimization section) to a unique value, or change the Request Path fields in all locations listed below:","Aby rozwiązać ten konflikt, możesz albo zmienić wartość pola URL Key (znajdującego się w sekcji Search Engine Optimization) na unikalną wartość, albo zmienić pola Request Path we wszystkich lokalizacjach wymienionych poniżej:"
"For category","Dla kategorii"
"For product","Dla produktu"
"Create URL Rewrite:","Utwórz URL Rewrite:"
"The selected product isn't associated with the selected store or category.","Wybrany produkt nie jest powiązany z wybranym sklepem lub kategorią."
"The selected category isn't associated with the selected store.","Wybrana kategoria nie jest powiązana z wybranym sklepem."
"An error occurred while saving the URL rewrite. Please try to save again.","Wystąpił błąd podczas zapisywania przepisywania adresu URL. Spróbuj zapisać ponownie."
"""url"" argument should be specified and not empty","Argument ""url"" powinien być określony i nie może być pusty."
"Delete Role","Skasuj rolę"
Roles,Role
"Role Users","Użytkownicy roli"
"Role Resources","Zasoby roli"
"Role Info","Informacje o roli"
"Save User","Zapisz użytkownika"
"Delete User","Usuń użytkownika"
"Are you sure you want to revoke the user's tokens?","Czy na pewno chcesz cofnąć token użytkownika?"
"Edit User '%1'","Edytuj użytkownika '%1'"
"New User","Nowy użytkownik"
"This account is","To konto jest"
"Account Status","Status konta"
"User Roles Information","Informacja o rolach użytkownika"
"User Information","Informacja o użytkowniku"
"User Info","Info użytkownika"
"Please correct the password reset token.","Proszę o poprawne hasło resetowania tokenu."
"Please specify the correct account and try again.","Określ poprawne konto i spróbuj ponownie."
"We'll email you a link to reset your password.","Możemy Ci wysłać e-mail z linkiem do resetowania hasła."
"Please correct this email address:","Proszę poprawić adres e-mail:"
"Please enter an email address.","Podaj adres e-mail."
"Locked Users","Zablokowani użytkownicy"
"Unlocked %1 user(s).","Odblokowanie %1 użytkownik(ów)."
Permissions,Uprawnienia
"You cannot delete your own account.","Nie możesz usunąć swojego własnego konta."
"You deleted the user.","Usunięto użytkownika."
"We can't find a user to delete.","Nie możemy znaleźć użytkownika do usunięcia."
"This user no longer exists.","Taki użytkownik już nie istnieje"
"You have revoked the user's tokens.","Odwołano tokeny użytkowników."
"We can't find a user to revoke.","Nie możemy znaleźć użytkownika aby do niego się odwołać."
"You cannot delete self-assigned roles.","Nie można usunąć ról przypisywanych samorzutnie."
"You deleted the role.","Możesz usunąć regułę."
"An error occurred while deleting this role.","Wystąpił błąd podczas usuwania tej roli."
"New Role","Nowa rola"
"This role no longer exists.","Ta reguła już nie istnieje."
"You saved the role.","Rola zapisana."
"An error occurred while saving this role.","Wystąpił błąd podczas zapisywania tej roli."
"You saved the user.","Użytkownik zapisany."
"A user with the same user name or email already exists.","Użytkownik o takiej nazwie użytkownika lub adresie e-mail już istnieje."
Recommended,Zalecane
Forced,Zmuszony
"Sorry, but this password has already been used. Please create another.","Przepraszamy, ale te hasło jest już używane przez Ciebie. Proszę utwórz inne."
email,"adres e-mail"
username,"nazwa użytkownika"
"User Name is a required field.","Nazwa użytkownika jest polem wymaganym."
"First Name is a required field.","Imię jest polem wymaganym."
"Last Name is a required field.","Nazwisko jest polem wymaganym."
"Password is required field.","Hasło jest polem wymaganym."
"Your password must be at least %1 characters.","Hasło musi mieć co najmniej %1 znaków."
"Your password must include both numeric and alphabetic characters.","Hasło musi zawierać zarówno znaki numeryczne jak i alfabetu."
"Your password confirmation must match your password.","Potwierdzenie twojego hasła musi być zgodne z twoim hasłem."
"It's time to change your password.","Nadszedł czas, abyś zmienił swoje hasło."
"It's time to <a href=""%1"">change your password</a>.","Nadszedł czas, aby <a href=""%1""> zmienił swoje hasło</a>."
"Your password has expired; please contact your administrator.","Twoje hasło wygasło; Skontaktuj się z administratorem."
"Password Help","Pomoc z hasłem"
"Enter your email address.  You will receive an email with a link to reset your password.","Wpisz swój adres e-mail. Otrzymasz następnie e-mail z linkiem do zresetowania hasła."
"Email address","Adres e-mail"
"Retrieve Password","Odzyskaj hasło"
"Back to Sign in","Powrót do logowania"
"Forgot your password?","Nie pamiętasz hasła?"
"Reset a Password","Zresetuj hasło"
"Roles Resources","Zasoby ról"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Ostrzeżenie! Ta akcja spowoduje usunięcie tego użytkownika z już przypisanej roli\r\nCzy na pewno?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Ostrzeżenie! Ta akcja spowoduje usunięcie tych użytkowników z już przypisanych ról \r\nCzy na pewno?"
"Password Reset Confirmation for %name","Potwierdzenie resetu hasła dla %name"
"If you requested this change, reset your password here:","Jeśli zażądałeś zmiany, zresetuj swoje hasło tutaj:"
"New %changes for %user_name","Nowe %changes dla %user_name"
"Hello,","Witamy,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Otrzymaliśmy prośbę o zmianę następujących informacji na Twoim koncie %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","Jeśli nie autoryzowałeś tej akcji, prosimy o natychmiastowy kontakt na adres %store_email"
"or call us at %store_phone","lub zadzwoń do nas pod numer %store_phone"
"Thanks,","Dziękujemy,"
"User Roles","Role użytkownika"
"User Notification Template","Szablon Powiadamianie użytkownika"
"We will disable this feature if the value is empty.","Możemy wyłączyć tę funkcję, jeśli wartość jest pusta."
"Password Lifetime (days)","Czas życia hasła (dni)"
"Password Change","Zmiana hasła"
"Last login","Ostatnie logowanie"
Failures,Błędy
"Reset Password Template","Szablon resetowania hasła"
"New admin user '%user_name' created","Utworzono nowego użytkownika admin '%user_name'"
"A new admin account was created for %first_name, %last_name using %email.","Utworzono nowe konto administratora dla %first_name, %last_name przy użyciu %email."
"The password reset token is incorrect. Verify the token and try again.","Token resetowania hasła jest nieprawidłowy. Zweryfikuj token i spróbuj ponownie."
"""User Name"" is required. Enter and try again.","""Nazwa użytkownika"" jest wymagana. Wprowadź ją i spróbuj ponownie."
"""First Name"" is required. Enter and try again.","""Imię"" jest wymagane. Wprowadź i spróbuj ponownie."
"""Last Name"" is required. Enter and try again.","""Nazwisko"" jest wymagane. Wprowadź i spróbuj ponownie."
"First-Class Mail Large Envelope","Duża koperta poczty pierwszej klasy"
"First-Class Mail Letter","List pierwszej klasy"
"First-Class Package Service - Retail","Usługa paczki pierwszej klasy - sprzedaż detaliczna"
"First-Class Mail Postcards","First-Class Mail Large PostcardsFirst-Class Mail Postcards"
"Priority Mail","Poczta priorytetowa"
"Priority Mail Express Hold For Pickup","Poczta priorytetowa ekspresowa wstrzymana do odbioru"
"Retail Ground","Handel detaliczny"
"Library Mail","Biblioteka Mail"
"Priority Mail Express Flat Rate Envelope","Koperta płaska Priority Mail Express"
"First-Class Mail Large Postcards","Duże pocztówki pierwszej klasy"
"Priority Mail Flat Rate Envelope","Koperta płaska Priority Mail"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Dostawa w niedziele/święta"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Koperta z płaską ceną"
"Priority Mail Padded Flat Rate Envelope","Wyściełana koperta płaska Priority Mail"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Prawna koperta z płaską ceną"
"Priority Mail Hold For Pickup","Poczta priorytetowa wstrzymana do odbioru"
"Priority Mail Flat Rate Envelope Hold For Pickup","Koperta płaska Priority Mail wstrzymana do odbioru"
"Priority Mail Gift Card Flat Rate Envelope","Płaska koperta na kartę podarunkową Priority Mail"
"Priority Mail Window Flat Rate Envelope","Koperta płaska z okienkiem Priority Mail"
"Priority Mail Small Flat Rate Envelope","Mała koperta płaska Priority Mail"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Mała koperta płaska Priority Mail - wstrzymanie do odbioru"
"Priority Mail Legal Flat Rate Envelope","Prawna koperta płaska Priority Mail"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Priority Mail Wyściełana koperta z płaską stawką do odbioru"
"Priority Mail Regional Rate Box A Hold For Pickup","Skrzynka Priority Mail Regional Rate Box A wstrzymana do odbioru"
"Priority Mail Regional Rate Box B Hold For Pickup","Priority Mail Regional Rate Box B Wstrzymane do odbioru"
"First-Class Package Service Hold For Pickup","Usługa wstrzymania paczki pierwszej klasy do odbioru"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Pudełka z płaską stawką Priority Mail Express Sunday/Holiday Delivery"
"Priority Mail Regional Rate Box C Hold For Pickup","Priority Mail Regional Rate Box C Wstrzymane do odbioru"
"First-Class Package Service","Usługa paczki pierwszej klasy"
"Priority Mail Express Padded Flat Rate Envelope","Wyściełana koperta płaska Priority Mail Express"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Wyściełana koperta z płaską stawką do odbioru"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Wyściełana koperta z płaską ceną"
"Global Express Guaranteed Document","Gwarantowany dokument Global Express"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Prostokątny"
"Priority Mail International Flat Rate Envelope","Międzynarodowa koperta płaska Priority Mail"
"Priority Mail Express International Flat Rate Envelope","Międzynarodowa koperta płaska Priority Mail Express"
"USPS GXG Envelopes","Koperty USPS GXG"
"First-Class Mail International Letter","List międzynarodowy pierwszej klasy"
"First-Class Mail International Large Envelope","Duża koperta First-Class Mail International"
"First-Class Package International Service","Usługa międzynarodowej paczki pierwszej klasy"
"Priority Mail Express International Legal Flat Rate Envelope","Prawna koperta płaska Priority Mail Express International"
"Priority Mail International Gift Card Flat Rate Envelope","Płaska koperta Priority Mail International na kartę podarunkową"
"Priority Mail International Window Flat Rate Envelope","Koperta z płaską stawką Priority Mail International z okienkiem"
"Priority Mail International Small Flat Rate Envelope","Mała koperta płaska Priority Mail International"
"First-Class Mail International Postcard","Pocztówka międzynarodowa pierwszej klasy"
"Priority Mail International Legal Flat Rate Envelope","Prawna koperta płaska Priority Mail International"
"Priority Mail International Padded Flat Rate Envelope","Wyściełana koperta płaska Priority Mail International"
"Priority Mail International DVD Flat Rate priced box","Pudełko z płaską ceną Priority Mail International DVD"
"Priority Mail International Large Video Flat Rate priced box","Pudełko Priority Mail International Large Video Flat Rate w cenie"
"Priority Mail Express International Padded Flat Rate Envelope","Wyściełana koperta płaska Priority Mail Express International"
Letter,List
Flat,Płaski
Parcel,Paczka
Variable,Zmienna
"Small Flat-Rate Box","Mała skrzynka ryczałtowa"
"Medium Flat-Rate Box","Średnia skrzynka ryczałtowa"
"Large Flat-Rate Box","Duża skrzynka ryczałtowa"
"Flat-Rate Envelope","Koperta - płaska stawka"
"Small Flat-Rate Envelope","Mała koperta ryczałtowa"
"Window Flat-Rate Envelope","Zryczałtowana koperta okienna"
"Gift Card Flat-Rate Envelope","Zryczałtowana koperta na kartę podarunkową"
"Legal Flat-Rate Envelope","Koperta zryczałtowana Legal"
"Padded Flat-Rate Envelope","Wyściełana koperta ryczałtowa"
Rectangular,Prostokątny
Non-rectangular,"Nie prostokątny"
"Service type does not match","Typ usługi nie zgadza się"
Merchandise,"Dobra handlowe"
Gift,Prezent
"Secure Gateway URL","URL bezpiecznej bramki"
Machinable,"Automatyczne pakowanie"
"First-Class Mail Parcel","Paczka pocztowa pierwszej klasy"
"Standard Post","Poczta standardowa"
"Priority Mail Express Flat Rate Boxes","Pudełka Priority Mail Express Flat Rate"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Pudełka z płaską ceną Priority Mail Express wstrzymane do odbioru"
"Priority Mail Express International Flat Rate Boxes","Skrzynki Priority Mail Express International Flat Rate"
"Add New Variable","Dodaj zmienną"
"Custom Variable ""%1""","Własna zmienna ""%1"""
"New Custom Variable","Nowa własna zmienna"
"Variable Code","Kod zmiennej"
"Variable Name","Nazwa zmiennej"
"Use Default Variable Values","Użyj domyślnych wartości zmiennych"
"Variable HTML Value","Wartość HTML zmiennej"
"Variable Plain Value","Prosta wartość zemiennej"
"You deleted the custom variable.","Usunąłeś niestandardową zmienna."
"You saved the custom variable.","Zapisana niestandardowe zmienna."
"Variable Code must be unique.","Kod zmiennej musi być unikalny."
"Validation has failed.","Weryfikacja nie powiodła się."
"Variable ID","ID zmiennej"
"Custom Variable","Zmienna niestandardowa"
"Base URL","Podstawowy adres URL"
"Secure Base URL","Bezpieczny bazowy adres URL"
"Edit Variable","Zmienna edycji"
"Insert Variable","Wstaw zmienną"
"The variable %1 is no longer available. Select a different variable.","Zmienna %1 nie jest już dostępna. Wybierz inną zmienną."
Type,Typ
"No token found.","Nie znaleziono tokenu."
"Wrong request.","Nieprawidłowe żądanie."
"Deletion failure. Please try again.","Usuwanie awarii. Proszę spróbować ponownie."
"Stored Payment Method was successfully removed","Przechowywana metoda płatności została pomyślnie usunięta"
"Stored Payment Methods","Zapamiętane metody płatności"
"No available payment tokens for specified order payment.","Brak dostępnych tokenów płatności dla określonej płatności za zamówienie."
"You have no stored payment methods.","Nie masz zapisanych metod płatności."
"No payment tokens are available for the specified order payment.","Dla określonej płatności zamówienia nie są dostępne żadne tokeny płatności."
"Credit Card was successfully removed","Karta kredytowa została pomyślnie usunięta"
"My Credit Cards","Moje karty kredytowe"
"You have no credit cards.","Nie masz kart kredytowych."
"Specify the ""public_hash"" value.","Określ wartość ""public_hash""."
"Could not find a token using public hash: %1","Nie można znaleźć tokena przy użyciu publicznego hasha: %1"
"Delete Current Hierarchy","Usuń bieżącą hierarchię"
"Pages Hierarchy","Hierarchia stron"
"Page Properties","Właściwości strony"
"Preview is not available.","Podgląd nie jest dostępny."
"Render Metadata in HTML Head.","Renderowanie metadanych w nagłówku HTML."
Next/Previous,Następny/Poprzedni
"Enable Chapter/Section","Włącz rozdział/sekcję"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Zaznaczenie włącza funkcję rozdziału/sekcji dla tego węzła, jego węzłów podrzędnych oraz stron"
Chapter/Section,Rozdział/sekcja
"Defines this node as Chapter/Section","Określa węzeł jako rozdział/sekcję"
"Pagination Options for Nested Pages","Opcje paginacji dla zagnieżdżonych stron"
"Enable Pagination","Włącz podział na strony"
Frame,Ramka
"Set the number of links to display at one time.","Ustaw liczbę linków do wyświetlania w jednym czasie."
"Frame Skip","Pomiń ramkę"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Jeśli aktualna pozycja ramki nie pokrywa najwyższych stron, wyrenderuje link do aktualnej pozycji plus/minus ta wartość"
"Page Navigation Menu Options","Opcje menu nawigacji strony"
"Exclude from Navigation Menu","Wyłączyć z menu nawigacji"
"Show in navigation menu.","Pokaż w menu nawigacji."
"Menu Layout","Układ menu"
"Only Children","Tylko dzieci"
"Neighbours and Children","Sąsiedzi i dzieci"
"Menu Detalization","Poziom szczegółowości menu"
"Node Levels to Include","Poziomy węzła do uwzględnienia"
"List Type","Rodzaj listy"
"List Style","Styl listy"
"Main Navigation Menu Options","Opcje głównego menu nawigacyjnego"
"Add selected page(s) to the tree","Dodaj wybrane strony"
"Remove from tree.","Usunąć z drzewa."
"Add Node...","Dodawanie węzła..."
"Add to tree.","Dodać do drzewa."
"Node Properties","Właściwości węzła"
"Page ID","Identyfikator strony"
"Manage Hierarchies","Zarządzaj hierarchiami"
Hierarchy,Hierarchia
"You copied the pages hierarchy to the selected scopes.","Skopiowano hierarchię stron do wybranych zakresów."
"Something went wrong while copying the hierarchy.","Coś się zepsuło podczas kopiowania hierarchii."
"Please correct the scope.","Popraw zakres."
"You deleted the pages hierarchy from the selected scopes.","Usunąłeś hierarchię stron z wybranych zakresów."
"Something went wrong while deleting the hierarchy.","Coś się zepsuło podczas usuwania hierarchii."
"CMS Page Trees","Drzewa stron CMS"
"You have saved the hierarchy.","Zapisałeś hierarchię."
"Something went wrong while saving the hierarchy.","Coś się zepsuło podczas kopiowania hierarchii."
Protected,Chroniony
"Delete Multiple Hierarchies","Usuń wiele hierarchii"
"Please correct the node data.","Proszę poprawić dane."
"CMS Node with id ""%1"" does not exist.","Węzeł CMS o id ""%1"" nie istnieje."
"Tree Viewed","Wyświetlone drzewo"
Chapter,Rozdział
Section,Sekcja
Both,Zarówno
"Use default","Użyj domyślnego"
"Numbers (1, 2, 3, ...)","Numery (1, 2, 3,...)"
"Lower Alpha (a, b, c, ...)","Małe znaki alfanumeryczne (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Duże znaki alfanumeryczne (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Małe cyfry rzymskie (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Duże cyfry rzymskie (I, II, III, ...)"
Circle,Koło
Disc,Dysk
Square,Plac
Unordered,Nieuporządkowana
"Use Parent","Użyj rodzica"
"Use the parent node hierarchy.","Użyj hierarchii węzła nadrzędnego."
"Are you sure you want to delete current hierarchy?","Czy na pewno chcesz usunąć bieżącą hierarchię?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Ta strona nie może zostać dodana ponieważ węzeł lub strona z tym samym kluczem URL już istnieje w tej części drzewa."
"This URL key is already in use.","Ten klucz URL jest już w użyciu."
"Please select a website or store view.","Proszę wybierz stronę lub widok sklepu."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Czy na pewno chcesz skopiować bieżącą hierarchię do wybranych miejsc docelowych?"
"Are you sure you want to delete the selected hierarchies?","Czy na pewno chcesz usunąć wybrane hierarchie?"
"Please select one or more hierarchies to delete.","Wybierz jedną lub więcej hierarchii do usunięcia."
"Please assign the current hierarchy to one or more destinations.","Przypisz bieżącą hierarchię do jednego lub więcej miejsc."
"No nodes are available","Węzły nie są dostępne"
"Single Hierarchy for All Store Views","Wspólna hierarchia dla wszystkich widoków sklepów"
"Specific Hierarchy for Each Store View","Określ hierarchię dla każdego widoku sklepu"
"CMS Hierarchy for","Hierarchia stron CMS dla"
"If this value is empty, the node or page name will be used.","Jeśli wartość ta jest pusta, nazwa węzła lub strony będzie używana."
Node,Węzeł
"Not Selected","Nie wybrano"
"Select a page or node.","Wybierz węzeł lub stronę."
"Parent page","Strona rodzica"
"Website Root","Strona bazowa"
Page:,Strona:
"Delete Revision and Version","Usuń rewizję oraz wersję"
"Publish Revision","Opublikuj rewizję"
"CMS Page Hierarchy","Hierarchia strony CMS"
"Enable Hierarchy Functionality","Włącz funkcję hierarchii"
"Enable Hierarchy Metadata","Włącz metadanych hierarchii"
"Default Layout for Hierarchy Menu","Domyślny układ hierarchii menu"
"CMS Hierarchy","Hierarchia stron CMS"
"CMS Hierarchy Node Link","Odnośnik do węzła w hierarchii CMS"
"Link to Specified CMS Hierarchy Node","Link do określonego węzła hierarchii CMS"
"Add selected page(s) to the tree.","Dodawanie wybranych stron do drzewa."
"Version Control","Kontrola wersji"
"Version Label","Etykieta wersji"
"Access Level","Poziom dostępu"
Created,Utworzony
Versions,Wersje
"Are you sure?","Jesteś pewien?"
N/A,"NIE DOTYCZY"
"Are you sure you want to delete this revision?","Czy na pewno chcesz usunąć tę wersję?"
Publish,Publikować
"Save and publish.","Zapisz i opublikuj."
"Save in a new version.","Zapisz w nowej wersji."
"You must specify a new version name.","Należy podać nazwę nowej wersji."
"Please specify a valid name.","Podaj prawidłową nazwę."
"Edit Page '%1' Revision #%2","Edycja strony '%1' w wersji #%2"
"Edit Page '%1' New Revision","Edycja strony '%1' Nowa wersja"
"Revision Information","Informacje o rewizji"
"Save as new version.","Zapisz jako nową wersję."
"New Revision...","Nowa wersja..."
"Save and continue edit.","Zapisz i kontynuuj edycję."
"Edit Page '%1' Version '%2'","Edycja strony '%1' Wersja '%2"
"Version Information","Informacje o wersji"
Revision,Rewizja
"Please select version(s).","Wybierz wersję (wersje)."
"Something went wrong while deleting these versions.","Coś poszło nie tak podczas usuwania tych wersji."
"You have deleted the revision.","Wersja została usunięta."
"Something went wrong while deleting the revision.","Coś poszło nie tak podczas usuwania wersji."
"We can't find a revision to delete.","Nie możemy znaleźć wersji do usunięcia."
"We could not load the specified revision.","Nie mogliśmy załadować określonej wersji."
"Edit Revision","Edytuj wersję"
"You have published the revision.","Opublikowałeś poprawkę."
"You have saved the revision.","Wersja została zapisana."
"You have deleted the version.","Wersja została usunięta."
"Something went wrong while deleting this version.","Coś poszło nie tak podczas usuwania tej wersji."
"We can't find a version to delete.","Nie możemy znaleźć wersji do usunięcia."
"Edit Version","Wersja do edycji"
"Please select revision(s).","Wybierz wersję (wersje)."
"Something went wrong while deleting the revisions.","Coś poszło nie tak podczas usuwania wersji."
"You have created the new version.","Utworzono nową wersję."
"You have saved the version.","Wersja została zapisana."
"Revision #%1 could not be removed because it is published.","Wersja #%1 nie mogła zostać usunięta, ponieważ została opublikowana."
"CMS Revision with id ""%1"" does not exist.","Wersja CMS o id ""%1"" nie istnieje."
"Please enter a version label.","Wprowadź etykietę wersji."
"Cannot change version access level because it is the last public version for its page.","Nie można zmienić poziomu dostępu do wersji, ponieważ jest to ostatnia publiczna wersja dla tej strony."
"Version ""%1"" cannot be removed because it is the last public page version.","Wersja ""%1"" nie może zostać usunięta, ponieważ jest ostatnią publiczną wersją strony."
"Version ""%1"" cannot be removed because its revision is published.","Wersja ""%1"" nie może zostać usunięta, ponieważ jej rewizja została opublikowana."
"CMS Version with id ""%1"" does not exist.","Wersja CMS o id ""%1"" nie istnieje."
Published,Opublikowano
"[No Owner]","[Brak właściciela]"
"Enabled by Default","Domyślnie włączone"
"Disabled by Default","Domyślnie wyłączone"
"Under Version Control","Pod kontrolą wersji"
"Currently Published Revision","Aktualnie opublikowana wersja"
"The published revision is unavailable.","Opublikowana wersja jest niedostępna."
"There are unsaved node data. Are you sure you want to continue?","Istnieją niezapisane dane węzła. Czy na pewno chcesz kontynuować?"
"Please wait...","Proszę czekać..."
"Choose Revision","Wybierz wersję"
"Current Modification","Bieżąca modyfikacja"
"Revision #%1","Wersja #%1"
"Choose Store View:","Wybierz Widok sklepu:"
"Revision #","Wersja #"
"New Revision","Nowa wersja"
Author:,Autor:
Version:,Wersja:
"This Page Belongs To","Ta strona należy do"
"Version Revisions","Zmiany wersji"
"CMS Versioning","Wersjonowanie CMS"
"CMS Page Default Versioning","Domyślna wersja strony CMS"
"The CMS node with the ""%1"" ID doesn't exist.","Węzeł CMS o identyfikatorze ""%1"" nie istnieje."
"Search All Products","Szukaj wszystkich produktów"
"Add Product by SKU","Dodaj produkt przez SKU"
Bottom,Dół
"No SKU entered","Nie wprowadzono SKU"
"Undefined Action","Niezdefiniowana akcja"
"Products with the following SKUs do not exist: %s","Nie istnieją produkty z następującymi SKU: %s"
"%s SKU(s) processed successfully","%s SKU(s) pomyślnie przetworzone"
"On Top","Na górze"
"On Bottom","Na dole"
"Category rules validation failed","Nie można sprawdzić poprawności reguł kategorii"
"Clone category ID(s)","Klon kategorii ID"
"Date Created (days ago)","Data Utworzenia (dni temu)"
"Date Modified (days ago)","Data modyfikacji (dni temu)"
"Error in reading category rules","Wystąpił błąd podczas odczytu reguł kategorii"
"There was no category rules to apply","Nie było żadnych zasad kategorii do zastosowania"
"Category rules applied","Zastosowane Zasady Kategorii"
Equal,Równe
"Not equal",Różne
"Greater than","Większa niż"
"Greater than or equal to","Równe lub większe niż"
"Less than","Mniejszy/a niż"
"Less than or equal to","Równa lub mniejsza niż"
Contains,Zawiera
"Error in yes/no format","Błąd w formacie tak/nie"
"Category ID '%1' not found","Nie znaleziono ID kategorii '%1'"
"%1 doesn't implement SortInterface","%1 nie zaimplementowano SortInterface"
"Move low stock to top","Przenieś niską akcję do góry"
"Name: A - Z","Nazwa: A - Z"
"Name: Z - A","Nazwa: Z - A"
"Newest products first","Najnowsze produkty pierwsze"
"Move out of stock to bottom","Przenieś niedostępne do dołu"
"Price: High to low","Cena: Od najwyższej do najniższej"
"Price: Low to high","Cena: Od najniższej do najwyższej"
"SKU: Ascending","SKU: rosnąco"
"SKU: Descending","SKU: malejąco"
"Sort by color","Sortuj wg koloru"
"Special price to bottom","Cena promocyjna na dole"
"Special price to top","Cena promocyjna do góry"
"Enter SKUs below, one per line","Wprowadź SKU poniżej, jeden na linię"
Draggable,Przeciągane
"Product image","Obrazek produktu"
"You can create a rule only to the existing categories.","Można utworzyć regułę tylko do istniejących kategorii."
"Only products matched by rule will be present in the category after save. Unmatched products and manual sorting will be removed from the category.","Tylko produkty dopasowane przez reguły będą obecne w kategorii po zapisie. Niedopasowane produkty i ręczne sortowanie zostaną usunięte z kategorii."
Attribute,Cecha
Logic,Logika
"Add Condition","Dodaj warunek"
"Match products by rule","Produkty dopasowania przez regułę"
"Save and Close","Zapisz i Zamknij"
"Visual Merchandiser Options","Opcje Visual Merchandiser"
"Visual Merchandiser","Wizualizacja sklepu"
"Visible Attributes for Category Rules","Widoczne atrybuty dla zasad kategorii"
"Additional attributes usable in category rules","Dodatkowe atrybuty nadające się do reguł kategorii"
"Minimum Stock Threshold","Próg minimalny zasobu"
"Determines which products are 'low stock'","Określa, które produkty mają ""niskie zasoby"""
"Color Attribute Code","Kod Atrybutu Koloru"
"Color Order","Kolor Zamówienia"
"Each color being on a separate row.","Każdy kolor jest w osobnym wierszu."
Sort,Sortuj
"Automatic Sorting","Automatyczne sortowanie"
"Sort order","Kolejność sortowania"
"Category Products","Kategoria Produkty"
"Wait loading...",Ładowanie...
"Rule %1 does not exists","Reguła %1 nie istnieje"
"Consumer is not authorized to access %resources","Konsument nie jest upoważniony do dostępu do %zasobów"
"Operation allowed only in HTTPS","Operacja jest dozwolona tylko w HTTPS"
"Cannot perform GET operation with store code 'all'","Nie można wykonać operacji GET dla kodu sklepu ""all"""
"Request does not match any route.","Wniosek nie odpowiada żadnej ścieżce."
"Not allowed parameters: %1. Please use only %2 and %3.","Parametr: %1 nie dozwolony. Proszę używać tylko %2 i %3."
"Requested service is not available: ""%1""","Żądana usługa nie dostępna: ""%1"""
"Operation ""%1"" not found.","Operacja ""%1"" nie znaleziona."
"SOAP extension is not loaded.","Rozszerzenie protokołu SOAP nie jest załadowane."
"Invalid XML","Nieprawidłowy XML"
"Invalid XML: Detected use of illegal DOCTYPE","Nieprawidłowy kod XML: Wykryto stosowanie nielegalnych DOCTYPE"
"Soap fault reason.","Powód niepowodzenia komunikacji SOAP."
"Create Customer","Utwórz klienta"
"Edit Customer","Edycja klienta"
"Get Customer","Pobierz klienta"
"SOAP Settings","Ustawienia protokołu SOAP"
"Default Response Charset","Domyślny zestaw znaków odpowiedzi"
